アファル語	Afar
ヤクート語	Yakut
南米インディアン諸語(その他)	South American Indian (Other)
	→South American Indian languages
セイリッシュ語族	Salishan languages
サマリア・アラム語	Samaritan Aramaic
サンスクリット語	Sanskrit
ササク語	Sasak
サンタール語	Santali
セルビア語	Serbian
シチリア語	Sicilian
低地スコットランド・ゲール語	Lowlands Scots; Scots; Lallans
クロアチア語	Croatian
セリクプ語	Selkup
セム語族(その他)	Semitic (Other)
	→Semitic languages
古アイルランド語	Old Irish (to 900)
手話	Sign languages
シャン語	Shan
シダモ語	Sidamo
シンハラ語	Sinhalese; Singhalese
	→Sinhala; Sinhalese
スー語族	Siouan languages
シナ・チベット語族(その他)	Sino-Tibetan (Other)
	→Sino-Tibetan languages
スラブ語派(その他)	Slavic (Other)
	→Slavic languages
スロバキア語	Slovak
スロベニア語	Slovenian
南サーミ語	Southern Sami
北サーミ語	Northern Sami
サーミ語(その他)	Sami (Other)
	→Sami languages
ルレ・サーミ語	Lule Sami
イナリ・サーミ語	Inari Sami
サモア語	Samoan
スコルト・サーミ語	Skolt Sami
ショナ語	Shona; Chishona
シンド語	Sindhi
ソニンケ語	Soninke
ソグド語	Sogdian
ソマリ語	Somali
ソンガイ語	Songhai
	→Songhai languages
南ソト語	Sesotho; Southern Sotho
スペイン語；カスティーヤ語	Spanish; Castilian
サルデーニャ語	Sardinian
スラナン語	Sranan Tongo
セレル語	Serer
ナイル・サハラ言語群(その他)	Nilo-Saharan (Other)
	→Nilo-Saharan languages
スワティ語	Swazi; Swati; Siswati
スクマ語	Sukuma
スンダ語	Sundanese
スス語	Susu
シュメール語	Sumerian
スワヒリ語	Swahili; Kiswahili
スウェーデン語	Swedish
古典シリア語	Classical Syriac
シリア語	Syriac
タヒチ語	Tahitian
タイ諸語(その他)	Tai (Other)
	→Tai languages
タミル語	Tamil
タタール語	Tatar
テルグ語	Telugu
テムネ語	Timne
テレーノ語	Tereno
テトゥン語	Tetum
タジク語	Tajiki
タガログ語	Tagalog
タイ語	Thai
チベット語	Tibetan
ティグレ語	Tigre
ティグリニア語	Tigrinya
ティブ語	Tiv
トケラウ語	Tokelau
クリンゴン語	Klingon; tlhIngan-Hol
トリンギット語	Tlingit
トゥアレグ語	Tamashek
トンガ語(ニヤサ地方)	Tonga (Nyasa)
トンガ語(トンガ諸島)	Tongan (Tonga Islands)
トク・ピシン	Tok Pisin
ツィムシアン語	Tsimshian
ツワナ語	Setswana; Tswana
ツォンガ語	Tsonga
トルクメン語	Turkmen
トゥンブカ語	Tumbuka
トゥピ語族	Tupi languages
トルコ語	Turkish
アルタイ諸言語(その他)	Altaic (Other)
	→Altaic languages
ツバル語	Tuvalu
チュイ語	Twi; Tshi
トゥワ語	Tuvinian
ウドムルト語	Udmurt
ウガリト語	Ugaritic
ウイグル語	Uighur
	→Uighur; Uyghur
ウクライナ語	Ukrainian
ウンブンドゥ語	Umbundu
不明言語	undetermined
ウルドゥー語	Urdu
ウズベク語	Uzbek
バイ語	Vai
ベンダ語	Venda
ベトナム語	Vietnamese
ボラピューク語	Volapuk
ボート語	Votic
ワカシュ語族	Wakashan languages
ワッラモ語	Walamo
	→Wolaitta; Wolaytta
ワライ語	Waray
ワショ語	Washo
ウェールズ語	Welsh
ソルブ語	Sorbian languages
ワロン語	Walloon
ウォロフ語	Wolof
カルムイク語；オイラト語	Kalmyk; Oirat
コサ語	Xhosa
ヤオ語	Yao
ヤップ語	Yapese
イディッシュ語	Yiddish
ヨルバ語	Yoruba
ユピック語	Yupik languages
サポテック語	Zapotec
	Blissymbols; Blissymbolics; Bliss
ゼナガ語	Zenaga
チュワン語	Zhuang; Chuang; Chwang
	→Zhuang; Chuang
ザンデ語	Zande languages
ズールー語	Zulu
ズニ語	Zuni
ザザキ語	Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki
